OriginFolder,SourceRoot,Files,Bytes,LibraryYearSpan,Methods
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\01-storyboard\growth-storyboard-r01\sheets,Google Drive (personal),5,12251176,2026-2026,copy=5
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker-OS\_la_verify\shots,OneDrive,37,12069793,NoDate-NoDate,copy=37
D:\work backup 2020\Documents\samsung backup\Pictures\Instagram,D: archive drive,9,11714886,2016-2018,link=9
G:\My Drive\Old Computer\Documents,Google Drive (personal),24,11627047,2019-NoDate,copy=24
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\01-storyboard\explanatory-concept-divergence-r01\review,Google Drive (personal),2,11622318,2026-2026,copy=2
D:\Pictures\thailand\23. new zealand,D: archive drive,2,11050083,2011-2011,link=2
D:\Gdrive backup Jan 22\WhatsApp\Media\WhatsApp Animated Gifs\Sent,D: archive drive,96,11019238,2018-2021,link=96
D:\Documents\Movies\Laptop Documents\.picasaoriginals,D: archive drive,2,10956859,2011-2011,link=2
"C:\Users\krish\OneDrive\Documents\Soulseek Downloads\complete\musicmaster2023\Christmas Dance Party 2024-2025 (Best of Dance, House & Electro)",OneDrive,1,10954913,2024-2024,copy=1
C:\Users\krish\cannes_lauren,C: system drive,10,10645830,?,copy=10
D:\Pictures\birds,D: archive drive,5,10477055,2014-2014,link=5
D:\Surface Laptop Backup July 2025\Downloads\peition - june 2025,D: archive drive,8,10242510,NoDate-NoDate,link=8
C:\Users\krish\OneDrive\Pictures\4 Review,OneDrive,14,10160990,2022-NoDate,copy=14
D:\Phone backup Jan 22\Pictures\Slack,D: archive drive,6,10041070,2021-2021,link=6
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker,OneDrive,1,9829662,NoDate-NoDate,copy=1
D:\work backup 2022\Pictures,D: archive drive,47,9726565,2021-NoDate,link=47
D:\Pictures\2018\2,D: archive drive,11,9713299,2018-2018,link=11
C:\Users\krish\circle-qa\shots,C: system drive,44,9437556,?,copy=44
D:\Phone backup Jan 22\DCIM\SuperSlow,D: archive drive,1,9423875,2021-2021,link=1
C:\Users\krish\OneDrive\Pictures\2 Screenshots,OneDrive,24,9126539,2025-NoDate,copy=24
D:\Phone backup Jan 22\DCIM,D: archive drive,1,8807431,2018-2018,link=1
D:\work backup 2022\Downloads\Expenses,D: archive drive,58,8742937,2021-NoDate,link=58
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Legacy-Life-Coaching\Steph Logos\2. CMYK (Print)\Wordmark\PNG,OneDrive,18,8704371,NoDate-NoDate,copy=18
D:\Phone backup Jan 22\Movies\Messenger,D: archive drive,2,8551190,NoDate-NoDate,link=2
C:\Users\krish\OneDrive\Documents\1 Home & Personal\PersonalAdmin\IDENTITY-DOC-2,OneDrive,6,8467797,2025-2025,copy=6
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Legacy-Life-Coaching\Steph Logos\3. RGB (Digital)\Wordmark\PNG,OneDrive,17,8270005,NoDate-NoDate,copy=17
C:\Users\krish\OneDrive\Pictures\Apartment NYC,OneDrive,8,8269256,2026-2026,copy=8
C:\Users\krish\ctrl-corpus\prototypes\_shots,C: system drive,41,8223465,?,copy=41
D:\Pictures\2014-06-07,D: archive drive,4,8085214,2014-2014,link=4
C:\Users\krish\OneDrive\Pictures\0 Ventures\Mindmaker,OneDrive,16,7532231,NoDate-NoDate,copy=16
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\01-style-test\quiet-workshop-role-animatic-r01\keyframes,Google Drive (personal),24,7465985,2026-2026,copy=24
D:\work backup 2016\documents\T&E\August 2016 - 2,D: archive drive,11,7101989,NoDate-NoDate,link=11
D:\Surface Laptop Backup July 2025\Downloads\Color factory,D: archive drive,12,7060670,NoDate-NoDate,link=12
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Legacy-Life-Coaching,OneDrive,7,7026253,NoDate-NoDate,copy=7
D:\Pictures\thailand\9. ko phanang\.picasaoriginals,D: archive drive,2,6956692,2012-2012,link=2
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\01-storyboard\growth-20s-consequence-animatic-r01\sheets,Google Drive (personal),3,6887353,2026-2026,copy=3
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\01-storyboard\explanatory-concept-divergence-r01\revision-parts,Google Drive (personal),6,6651282,2026-2026,copy=6
D:\Phone backup Jan 22\DCIM\GIF,D: archive drive,4,6518712,2018-2021,link=4
C:\Users\krish\OneDrive\Documents\1 Home & Personal\PersonalAdmin\IDENTITY-DOC-3,OneDrive,2,6403456,2026-2026,copy=2
D:\Gdrive backup Jan 22\WhatsApp\Media\WhatsApp Animated Gifs,D: archive drive,58,6328811,2017-2022,link=58
D:\Pictures\nov-feb 2013-2014\new years\.picasaoriginals,D: archive drive,1,6288130,2014-2014,link=1
D:\Phone backup Jan 22\Pictures\Messenger,D: archive drive,12,6094129,NoDate-NoDate,link=12
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Engagement Vid - Loz Traits,Google Photos (Takeout),2,5995531,2024-2024,copy=2
G:\My Drive\Old Computer\Sample Pictures,Google Drive (personal),8,5837151,2008-2008,copy=8
C:\Users\krish\OneDrive\Documents\CTRL\dist,OneDrive,14,5515992,NoDate-NoDate,copy=14
D:\Documents\phone backup\WhatsApp\Media\WhatsApp Images,D: archive drive,78,5466088,2011-NoDate,link=78
D:\work backup 2020\Documents\jetboat,D: archive drive,10,5442670,2018-2018,link=10
D:\work backup 2016\documents\PR Documents,D: archive drive,9,5392455,2013-NoDate,link=9
D:\Samsung Backup\Phone\PhotoEditor,D: archive drive,6,5281007,2014-2014,link=6
C:\Users\krish\cannes_lauren\shots,C: system drive,5,5269681,?,copy=5
D:\Phone backup Jan 22\Movies\Reface,D: archive drive,6,4954964,2021-2021,link=6
D:\Samsung Backup\Phone\Pictures\9GAG,D: archive drive,26,4918573,NoDate-NoDate,link=26
D:\work backup 2016\documents\PR Documents\v2\Contract,D: archive drive,13,4838298,2016-2016,link=13
C:\Users\krish\OneDrive\Documents\ChatGPT\mindmaker\outputs\mindmaker_component_selection,OneDrive,6,4753077,NoDate-NoDate,copy=6
C:\Users\krish\OneDrive\Pictures\1 Home & Personal\Headshots\krish headshots,OneDrive,18,4718767,2022-NoDate,copy=18
D:\Backup - Captify laptop Nov 2024\Pictures,D: archive drive,9,4488460,2021-NoDate,link=9
D:\Gdrive backup Jan 22\WhatsApp\Media\WhatsApp Stickers,D: archive drive,86,4424800,2019-2022,link=86
D:\work backup 2017\My Received Files,D: archive drive,5,4400829,NoDate-NoDate,link=5
D:\work backup 2016\documents\PR Documents\v4,D: archive drive,5,4376399,2016-2016,link=5
D:\work backup 2016\downloads,D: archive drive,6,4352259,2015-2016,link=6
D:\Phone backup Jan 22\Pictures\Layout,D: archive drive,3,4272629,2018-2018,link=3
D:\Samsung Backup\Phone\WhatsApp\Media\WhatsApp Video,D: archive drive,3,4159892,2014-2014,link=3
D:\work backup 2020\Documents\samsung backup\Pictures\9GAG,D: archive drive,19,3918797,NoDate-NoDate,link=19
C:\Users\krish\OneDrive\Documents\ChatGPT\mindmaker\.screenshot-staging\final-jpeg,OneDrive,32,3901683,NoDate-NoDate,copy=32
D:\Samsung Backup\Card\WhatsApp\Media\WhatsApp Video,D: archive drive,1,3805162,2012-2012,link=1
C:\Users\krish\OneDrive\Documents\ChatGPT\mindmaker\.screenshot-staging,OneDrive,35,3799628,NoDate-NoDate,copy=35
D:\Phone backup Jan 22\Pictures\Facebook,D: archive drive,4,3776125,2017-NoDate,link=4
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\v2\Logos,OneDrive,13,3737562,NoDate-NoDate,copy=13
D:\work backup 2022\Downloads\FINANCE-DOC-2,D: archive drive,7,3664602,2022-NoDate,link=7
C:\Users\krish\closure-day1\screenshots,C: system drive,16,3615718,?,copy=16
G:\My Drive\Old Computer\Facebook,Google Drive (personal),26,3572202,2018-NoDate,copy=26
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Untitled,Google Photos (Takeout),6,3568924,2026-2026,copy=6
G:\My Drive\Debugging\issues\ctrl,Google Drive (personal),5,3524222,2026-2026,copy=5
D:\Samsung S9+ Backup - Sep 2020\DCIM\Facebook,D: archive drive,38,3515703,2019-NoDate,link=38
D:\Pictures\thailand\3. pai\.picasaoriginals,D: archive drive,1,3483089,2012-2012,link=1
D:\Samsung Backup\Card\WhatsApp\Media\WhatsApp Images,D: archive drive,59,3448982,2012-2013,link=59
C:\Users\krish\OneDrive\Pictures\1 Home & Personal\Headshots\krish headshots\training,OneDrive,8,3425630,2023-2026,copy=8
C:\Users\krish\audit\mm-ctrl\2026-07-04\evidence,C: system drive,26,3423087,?,copy=26
D:\Captify PC\Documents,D: archive drive,17,3371287,2007-NoDate,link=17
D:\work backup 2022\Pictures\Screenshots,D: archive drive,51,3310594,2022-2022,link=51
G:\My Drive\Debugging\Pulse,Google Drive (personal),5,3167949,2026-2026,copy=5
D:\Surface laptop backup Aug 2024\Downloads\apartment pic,D: archive drive,15,3131538,2024-2024,link=15
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\upgrades,OneDrive,6,3084239,NoDate-NoDate,copy=6
D:\Samsung Backup\Phone\Pictures\Screenshots,D: archive drive,13,3004578,2014-2014,link=13
D:\work backup 2016\documents\PR Documents\v2\proof of address,D: archive drive,3,2578086,2016-2016,link=3
G:\My Drive\Debugging\Full Time,Google Drive (personal),4,2549884,2026-2026,copy=4
D:\Samsung S9+ Backup - Sep 2020\Pictures,D: archive drive,12,2513328,2019-NoDate,link=12
C:\Users\krish\OneDrive\Pictures\0 Ventures\Mindmaker-OS,OneDrive,3,2489894,NoDate-NoDate,copy=3
D:\Samsung S9+ Backup - Sep 2020\Pictures\Slack,D: archive drive,1,2423586,2020-2020,link=1
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\01-style-test\quiet-workshop-role-render-r01\review,Google Drive (personal),5,2314596,2026-2026,copy=5
D:\Documents\phone backup\download,D: archive drive,8,2313592,2005-NoDate,link=8
G:\My Drive\Debugging\CTRL,Google Drive (personal),4,2285652,2026-2026,copy=4
D:\Samsung Backup\Phone\WhatsApp\Media\WhatsApp Video\Sent,D: archive drive,1,2264204,2014-2014,link=1
C:\Users\krish\audit\fractionl-circle\2026-07-04\evidence,C: system drive,36,2244269,?,copy=36
D:\work backup 2016\documents\internet change,D: archive drive,2,2210551,2015-2016,link=2
D:\Samsung Backup\Phone\DCIM\Camera,D: archive drive,2,2194794,2014-2014,link=2
D:\Samsung Backup\Phone\Pictures\Facebook,D: archive drive,2,1908911,2014-2014,link=2
C:\Users\krish\ctrl-corpus\issues 17-6-26,C: system drive,3,1891460,?,copy=3
D:\Documents\phone backup\PicsArt\.res,D: archive drive,12,1847870,NoDate-NoDate,link=12
G:\My Drive\Ventures\_Archive\Legacy-Life-Coaching\steph site,Google Drive (personal),5,1834799,2026-NoDate,copy=5
D:\Phone backup Jan 22\DCIM\Facebook,D: archive drive,18,1817761,2018-NoDate,link=18
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\Maven,OneDrive,7,1804673,NoDate-NoDate,copy=7
D:\Samsung S9+ Backup - Sep 2020\Pictures\Hangouts,D: archive drive,1,1789258,2018-2018,link=1
D:\work backup 2022\Documents\samsung s20 backup juune 2022\Slack,D: archive drive,2,1728225,2022-2022,link=2
D:\Documents\phone backup\PicsArt\.tmp\effect,D: archive drive,2,1683852,NoDate-NoDate,link=2
D:\Documents\phone backup\downloads,D: archive drive,4,1659562,2011-2011,link=4
D:\Phone backup Jan 22\Movies\facemorph,D: archive drive,1,1654257,2021-2021,link=1
D:\Phone backup Jan 22\Movies\Downloader_For_Facebook,D: archive drive,1,1641550,2013-2013,link=1
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\MotherDaily,OneDrive,1,1611804,NoDate-NoDate,copy=1
D:\Phone backup Jan 22\DCIM\Quick measure,D: archive drive,1,1611130,2021-2021,link=1
D:\Samsung Backup\Phone\viber\media\User photos,D: archive drive,85,1604985,NoDate-NoDate,link=85
D:\Samsung S9+ Backup - Sep 2020\Pictures\Facebook,D: archive drive,6,1600523,NoDate-NoDate,link=6
C:\Users\krish\OneDrive,OneDrive,1,1598531,NoDate-NoDate,copy=1
D:\Phone backup Jan 22\Pictures\MagicLabPhotos,D: archive drive,2,1541929,2020-2020,link=2
C:\Users\krish\OneDrive\Pictures\1 Home & Personal\Headshots,OneDrive,5,1529525,NoDate-NoDate,copy=5
G:\My Drive\Ventures\Active\Mindmaker\04_Content\Video Engine\Inbox,Google Drive (personal),1,1443350,NoDate-NoDate,copy=1
D:\Samsung S9+ Backup - Sep 2020\Pictures\Layout,D: archive drive,1,1433745,2018-2018,link=1
C:\Users\krish\OneDrive\Documents\Soulseek Downloads\complete\musicmaster2023\VA - Christmas Party 2016 Soulful Disco And Funky House,OneDrive,1,1425200,NoDate-NoDate,copy=1
D:\Backup - Captify laptop Nov 2024\Pictures\food hamper receipts,D: archive drive,5,1337973,NoDate-NoDate,link=5
C:\Users\krish\OneDrive\Documents\CTRL\tests\screenshots,OneDrive,11,1311797,NoDate-NoDate,copy=11
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker-OS\app OS summaries\pulse,OneDrive,2,1186579,2026-2026,copy=2
D:\Phone backup Jan 22\DCIM\Videocaptures,D: archive drive,2,1130640,2018-2021,link=2
D:\work backup 2020\Documents\PersonalAdmin2,D: archive drive,3,1124898,2018-2018,link=3
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Failed Videos,Google Photos (Takeout),1,1114922,2020-2020,copy=1
D:\work backup 2020\Documents\Zoom\2020-05-13 17.00.43 Jazz Hands_ Challenge 96131914605,D: archive drive,1,1106350,2020-2020,link=1
D:\work backup 2020\Downloads\processing\modes\java\reference\images,D: archive drive,217,1105331,NoDate-NoDate,link=217
D:\Samsung Backup\Phone\WhatsApp\Media\WhatsApp Images\Sent,D: archive drive,16,1077191,2014-2014,link=16
C:\Users\krish\OneDrive\Documents\Pulse\e2e\pulse-mobile-overlays.spec.ts-snapshots,OneDrive,10,1015242,NoDate-NoDate,copy=10
D:\work backup 2022\Documents,D: archive drive,2,995404,NoDate-NoDate,link=2
C:\Users\krish\OneDrive\Documents\CTRL\dist\sample-results,OneDrive,2,977644,NoDate-NoDate,copy=2
D:\Documents\phone backup\Images\201007\201007A0,D: archive drive,3,908688,2010-2010,link=3
D:\Phone backup Jan 22\DCIM\Google Photos,D: archive drive,4,907716,2021-2021,link=4
D:\work backup 2020\Downloads\p360,D: archive drive,5,895229,2015-NoDate,link=5
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker-OS\app OS summaries\controlcenter,OneDrive,11,888910,NoDate-NoDate,copy=11
G:\My Drive\Old Computer\the dad folder,Google Drive (personal),1,880010,2019-2019,copy=1
G:\My Drive\Old Computer\2020-02-21,Google Drive (personal),1,847021,2020-2020,copy=1
D:\Surface laptop backup Aug 2024\Downloads\dadpics2,D: archive drive,7,828533,2023-2023,link=7
,other,9,773497,?,copy=9
D:\Documents\phone backup\Facebook,D: archive drive,1,685294,2012-2012,link=1
D:\work backup 2016\documents\Audience & Data\Products\Audience Match,D: archive drive,1,671417,2016-2016,link=1
D:\Samsung Backup\Phone\WhatsApp\Profile Pictures,D: archive drive,15,666962,NoDate-NoDate,link=15
C:\Users\krish\ctrl-corpus,C: system drive,2,660393,?,copy=2
D:\work backup 2020\Documents\Zoom\2020-04-16 17.41.46 Krish Raja's Zoom Meeting 91361146968,D: archive drive,1,630486,2020-2020,link=1
D:\work backup 2020\Documents\samsung backup\Pictures\BumblePhotos,D: archive drive,1,630190,2018-2018,link=1
D:\Documents\phone backup\.bookmark_thumb1,D: archive drive,42,622366,NoDate-NoDate,link=42
D:\Samsung Backup\Card\PicsArt,D: archive drive,1,609685,NoDate-NoDate,link=1
D:\Surface laptop backup Aug 2024\Downloads\Soulseek Downloads\complete\silek65\Beatport Top 100 Melodic House & Techno 2021,D: archive drive,1,605037,NoDate-NoDate,link=1
G:\My Drive\Engagement - Sep 5,Google Drive (personal),2,604163,NoDate-NoDate,copy=2
C:\Users\krish\ctrl-corpus\chronicle-shots\prod,C: system drive,4,593491,?,copy=4
D:\Backup - Captify laptop Nov 2024\Pictures\Feedback\{2158C9B1-198B-4E87-ACD8-7075BE13B99C},D: archive drive,1,585975,NoDate-NoDate,link=1
G:\My Drive\Old Computer\Searches,Google Drive (personal),5,585496,2020-2020,copy=5
D:\Samsung Backup\Card\Pictures\Instagram,D: archive drive,2,581858,2013-2013,link=2
G:\My Drive\Old Computer\Downloads,Google Drive (personal),1,556847,NoDate-NoDate,copy=1
G:\My Drive\Debugging\issues\circle,Google Drive (personal),2,537336,2026-2026,copy=2
D:\E-Drive-Rescue\2019-07-23 PERSON-C IDENTITY-DOC-1 2,E: rescued drive,1,534090,2019-2019,link=1
D:\E-Drive-Rescue\2019-06-24 sickness cert june 2019,E: rescued drive,1,532211,2019-2019,link=1
D:\work backup 2020\Downloads\processing\lib\icons,D: archive drive,11,528108,NoDate-NoDate,link=11
D:\Backup - Captify laptop Nov 2024\Pictures\Feedback\{CEA85A08-1C1A-47D6-98FD-FB2D7FB2906A},D: archive drive,1,523207,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\Freenove\ProcessingApp\data,D: archive drive,4,522832,NoDate-NoDate,link=4
G:\My Drive\Old Computer\Documents\Scanned Documents,Google Drive (personal),1,516424,2004-2004,copy=1
C:\Users\krish\OneDrive\Documents\ChatGPT\mindmaker\outputs,OneDrive,5,513878,NoDate-NoDate,copy=5
D:\work backup 2020\Downloads\processing\modes\java\examples\Demos\Graphics\Planets\data,D: archive drive,4,513362,NoDate-NoDate,link=4
D:\Samsung Backup\Card\download,D: archive drive,6,497659,2012-NoDate,link=6
D:\Samsung S9+ Backup - Sep 2020\Pictures\Memes,D: archive drive,6,492878,2019-NoDate,link=6
D:\work backup 2020\Downloads\processing\lib,D: archive drive,2,485119,NoDate-NoDate,link=2
G:\My Drive\Ventures\_Archive\Conclusiv\icons,Google Drive (personal),5,482853,NoDate-NoDate,copy=5
D:\Samsung S9+ Backup - Sep 2020\DCIM3\AR Emoji camera,D: archive drive,1,479776,2020-2020,link=1
D:\Samsung Backup\Phone\Download,D: archive drive,6,466708,2014-NoDate,link=6
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\upgrades\Downloads,OneDrive,1,459510,NoDate-NoDate,copy=1
D:\work backup 2022\Documents\samsung s20 backup juune 2022,D: archive drive,2,459197,2022-NoDate,link=2
D:\Documents\phone backup\PicsArt\.tmp\common,D: archive drive,1,452696,NoDate-NoDate,link=1
G:\My Drive\Old Computer,Google Drive (personal),3,435007,NoDate-NoDate,copy=3
D:\,D: archive drive,2,432657,NoDate-NoDate,link=2
D:\work backup 2022\Documents\samsung s20 backup juune 2022\Messenger,D: archive drive,1,427748,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Image Processing\Blending\data,D: archive drive,2,416889,NoDate-NoDate,link=2
C:\Users\krish\OneDrive\Documents\CTRL\.codex-tmp\screens,OneDrive,6,379884,NoDate-NoDate,copy=6
C:\Users\krish\OneDrive\Documents\CTRL\src\assets,OneDrive,3,378245,NoDate-NoDate,copy=3
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2014,Google Photos (Takeout),6,370024,2014-NoDate,copy=6
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Core Crew Photos,Google Photos (Takeout),1,367097,2024-2024,copy=1
D:\work backup 2020\Downloads\sydney pic_files,D: archive drive,28,360970,NoDate-NoDate,link=28
D:\work backup 2020\Documents\Zoom\2020-05-01 10.40.28 AWAPAC + Amobee 91461734831,D: archive drive,1,340039,2020-2020,link=1
D:\work backup 2016\documents\PR Documents\v2,D: archive drive,1,339521,2016-2016,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\5,D: archive drive,8,324312,NoDate-NoDate,link=8
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\9,D: archive drive,16,323031,NoDate-NoDate,link=16
D:\Documents\phone backup\DCIM,D: archive drive,1,321770,2011-2011,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\3,D: archive drive,8,318991,NoDate-NoDate,link=8
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\4,D: archive drive,8,317957,NoDate-NoDate,link=8
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\11,D: archive drive,16,316718,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\7,D: archive drive,16,311071,NoDate-NoDate,link=16
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\Repo\thebuildereconomy\thebuildereconomy\public,OneDrive,1,308482,NoDate-NoDate,copy=1
D:\Surface Laptop Backup July 2025\Fractionl AI\Logos,D: archive drive,14,306924,NoDate-NoDate,link=14
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\v2\Logos\the builder economy,OneDrive,10,298805,NoDate-NoDate,copy=10
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\10,D: archive drive,16,292965,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\6,D: archive drive,8,291382,NoDate-NoDate,link=8
D:\Samsung Backup\Card\foursquare\cache,D: archive drive,162,288415,NoDate-NoDate,link=162
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\12,D: archive drive,16,283623,NoDate-NoDate,link=16
C:\Users\krish\dev\fractionl-circle\test-results\brand-preview\front-door-the-front-door--7e527-duct-jargon-or-layout-leaks-mobile,C: system drive,2,282343,?,copy=2
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\6,D: archive drive,9,278224,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\5,D: archive drive,16,275912,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\6,D: archive drive,16,275094,NoDate-NoDate,link=16
G:\My Drive\Debugging\Circle,Google Drive (personal),1,274069,2026-2026,copy=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\5,D: archive drive,9,272769,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\8,D: archive drive,16,263524,NoDate-NoDate,link=16
C:\Users\krish\circle-auth-qa,C: system drive,9,260125,?,copy=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\13,D: archive drive,16,259917,NoDate-NoDate,link=16
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\Servo_I2C_PCA9685,D: archive drive,1,259169,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Textures\TextureSphere\data,D: archive drive,1,258508,NoDate-NoDate,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\8,D: archive drive,9,257719,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\1,D: archive drive,9,252020,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\2\2,D: archive drive,4,251360,NoDate-NoDate,link=4
D:\work backup 2020\Documents\Gracey\FROGSNTHUNDER,D: archive drive,1,250854,NoDate-NoDate,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\2,D: archive drive,8,250571,NoDate-NoDate,link=8
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\7,D: archive drive,8,244466,NoDate-NoDate,link=8
D:\Samsung S9+ Backup - Sep 2020\DCIM\Video trimmer,D: archive drive,1,240926,2019-2019,link=1
D:\Phone backup Jan 22\DCIM\Video trimmer,D: archive drive,1,240669,2018-2018,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\15,D: archive drive,16,240559,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\3,D: archive drive,9,238926,NoDate-NoDate,link=9
D:\work backup 2020\Documents\samsung backup\DCIM\Video trimmer,D: archive drive,1,238089,2018-2018,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\1\3,D: archive drive,5,236913,NoDate-NoDate,link=5
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\Repo\Mindmaker\conclusiv\public,OneDrive,5,235169,NoDate-NoDate,copy=5
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\Environment_I2C_BME280,D: archive drive,1,232907,NoDate-NoDate,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\7,D: archive drive,9,232587,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\16,D: archive drive,16,231451,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\1\2,D: archive drive,6,231382,NoDate-NoDate,link=6
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\Light_I2C_TSL2561,D: archive drive,1,229700,NoDate-NoDate,link=1
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\v1\Logos,OneDrive,1,229573,NoDate-NoDate,copy=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\11,D: archive drive,9,228985,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\4,D: archive drive,11,224004,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\2\1,D: archive drive,4,220814,NoDate-NoDate,link=4
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\12,D: archive drive,11,219578,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\14,D: archive drive,16,216720,NoDate-NoDate,link=16
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Bali Big Boyz,Google Photos (Takeout),1,216540,2025-2025,copy=1
D:\Samsung Backup\Card\WhatsApp\Media\WhatsApp Audio,D: archive drive,2,215893,2012-2013,link=2
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Signal-Noise,OneDrive,1,213546,NoDate-NoDate,copy=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\2,D: archive drive,16,212460,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\1,D: archive drive,8,211186,NoDate-NoDate,link=8
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\1\4,D: archive drive,5,210286,NoDate-NoDate,link=5
